19:50:48: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 50] Logger initialized
19:50:58: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 1.0, 0.1)
19:50:58: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 1.9047619047619047, 0.09523809523809523)
19:50:59: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 2.727272727272727, 0.09090909090909091)
19:50:59: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
19:51:00: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333)
19:51:00: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (2.4, 2.4, 0.08)
19:51:01: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693)
19:51:01: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407)
19:51:02: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (2.142857142857143, 0.0, 0.07142857142857142)
19:51:02: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (1.3793103448275863, 0.0, 0.06896551724137931)
19:51:03: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.6666666666666666, 0.0, 0.06666666666666667)
19:51:03: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: (0.0, 0.0, 0.06451612903225806)
19:51:06: [INFO] [/home/xingy/WRAG-Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 81] Worker exiting
